,playerid,first,last,season4,gspos,mpg,ppg,rpg,apg,bpg,spg,gf,dgf3,to_ast,fga3,measure,stats,stats_x,stats_y,ID1,playerName
47,70,Chris,Carrawell,2000,<Null>,35.64705882352941,16.941176470588236,6.0588235294117645,3.235294117647059,1.0588235294117647,1.0,0.3246445497630332,0.37662337662337664,1.9902941176470585,2.264705882352941,a,3.0908402854632673,-2.939563794317413,0.9551221751068635,10,Chris Carrawell
48,70,Chris,Carrawell,2000,<Null>,35.64705882352941,16.941176470588236,6.0588235294117645,3.235294117647059,1.0588235294117647,1.0,0.3246445497630332,0.37662337662337664,1.9902941176470585,2.264705882352941,b,3.417319149627514,-2.008649798527708,-2.7646692672516027,8,Chris Carrawell
49,70,Chris,Carrawell,2000,<Null>,35.64705882352941,16.941176470588236,6.0588235294117645,3.235294117647059,1.0588235294117647,1.0,0.3246445497630332,0.37662337662337664,1.9902941176470585,2.264705882352941,s,2.0834537598769387,1.2246233938889681,-1.6855494987348245,6,Chris Carrawell
50,70,Chris,Carrawell,2000,<Null>,35.64705882352941,16.941176470588236,6.0588235294117645,3.235294117647059,1.0588235294117647,1.0,0.3246445497630332,0.37662337662337664,1.9902941176470585,2.264705882352941,z,2.81191272908746,0.0,2.81191272908746,11,Chris Carrawell
51,70,Chris,Carrawell,2000,<Null>,35.64705882352941,16.941176470588236,6.0588235294117645,3.235294117647059,1.0588235294117647,1.0,0.3246445497630332,0.37662337662337664,1.9902941176470585,2.264705882352941,g,3.442042473933033,-2.023181803942136,-2.7846708567722107,8,Chris Carrawell
52,70,Chris,Carrawell,2000,<Null>,35.64705882352941,16.941176470588236,6.0588235294117645,3.235294117647059,1.0588235294117647,1.0,0.3246445497630332,0.37662337662337664,1.9902941176470585,2.264705882352941,d,2.812102084759821,-1.652912133362741,-2.275038376487914,8,Chris Carrawell
53,70,Chris,Carrawell,2000,<Null>,35.64705882352941,16.941176470588236,6.0588235294117645,3.235294117647059,1.0588235294117647,1.0,0.3246445497630332,0.37662337662337664,1.9902941176470585,2.264705882352941,t,4.012250157093234,-2.3583414708475616,-3.2459785627719793,8,Chris Carrawell
54,90,Chris,Collins,1996,<Null>,34.51724137931034,16.275862068965516,3.8275862068965516,4.551724137931035,0.06896551724137931,1.2758620689655173,0.25,0.441340782122905,2.032068965517241,6.172413793103448,p,2.7681402253163263,0.0,2.7681402253163263,2,Chris Collins
55,90,Chris,Collins,1996,<Null>,34.51724137931034,16.275862068965516,3.8275862068965516,4.551724137931035,0.06896551724137931,1.2758620689655173,0.25,0.441340782122905,2.032068965517241,6.172413793103448,r,2.3465525850233675,2.231704126815711,0.7251246269666843,4,Chris Collins
56,90,Chris,Collins,1996,<Null>,34.51724137931034,16.275862068965516,3.8275862068965516,4.551724137931035,0.06896551724137931,1.2758620689655173,0.25,0.441340782122905,2.032068965517241,6.172413793103448,a,3.9920301162272787,-3.7966462552844527,1.2336051479708259,10,Chris Collins
57,90,Chris,Collins,1996,<Null>,34.51724137931034,16.275862068965516,3.8275862068965516,4.551724137931035,0.06896551724137931,1.2758620689655173,0.25,0.441340782122905,2.032068965517241,6.172413793103448,b,2.2064166023655662,-1.2968991392837457,-1.785028527984774,8,Chris Collins
58,90,Chris,Collins,1996,<Null>,34.51724137931034,16.275862068965516,3.8275862068965516,4.551724137931035,0.06896551724137931,1.2758620689655173,0.25,0.441340782122905,2.032068965517241,6.172413793103448,s,2.8057882393993467,1.649200948174599,-2.269930368291435,6,Chris Collins
59,90,Chris,Collins,1996,<Null>,34.51724137931034,16.275862068965516,3.8275862068965516,4.551724137931035,0.06896551724137931,1.2758620689655173,0.25,0.441340782122905,2.032068965517241,6.172413793103448,z,2.7681402253163263,0.0,2.7681402253163263,11,Chris Collins
60,90,Chris,Collins,1996,<Null>,34.51724137931034,16.275862068965516,3.8275862068965516,4.551724137931035,0.06896551724137931,1.2758620689655173,0.25,0.441340782122905,2.032068965517241,6.172413793103448,g,2.6659122076361355,-1.56698387955499,-2.156768281489267,8,Chris Collins
61,90,Chris,Collins,1996,<Null>,34.51724137931034,16.275862068965516,3.8275862068965516,4.551724137931035,0.06896551724137931,1.2758620689655173,0.25,0.441340782122905,2.032068965517241,6.172413793103448,d,3.93767381035127,-2.3145065940627854,-3.185645030879331,8,Chris Collins
62,90,Chris,Collins,1996,<Null>,34.51724137931034,16.275862068965516,3.8275862068965516,4.551724137931035,0.06896551724137931,1.2758620689655173,0.25,0.441340782122905,2.032068965517241,6.172413793103448,t,4.076708633931815,-2.396229212918515,-3.2981265659659145,8,Chris Collins
63,106,Brian,Davis,1992,<Null>,30.86111111111111,11.166666666666666,4.527777777777778,1.9166666666666667,0.25,1.1666666666666667,0.3917525773195876,0.20512820512820512,1.0675,1.0833333333333333,p,1.4770841965347294,0.0,1.4770841965347294,2,Brian Davis
64,106,Brian,Davis,1992,<Null>,30.86111111111111,11.166666666666666,4.527777777777778,1.9166666666666667,0.25,1.1666666666666667,0.3917525773195876,0.20512820512820512,1.0675,1.0833333333333333,r,2.8472749361902334,2.707919381747589,0.8798563429406262,4,Brian Davis
65,106,Brian,Davis,1992,<Null>,30.86111111111111,11.166666666666666,4.527777777777778,1.9166666666666667,0.25,1.1666666666666667,0.3917525773195876,0.20512820512820512,1.0675,1.0833333333333333,a,2.4627141897617286,-2.3421803779454313,0.7610205369247034,10,Brian Davis
66,106,Brian,Davis,1992,<Null>,30.86111111111111,11.166666666666666,4.527777777777778,1.9166666666666667,0.25,1.1666666666666667,0.3917525773195876,0.20512820512820512,1.0675,1.0833333333333333,b,2.4731523651862095,-1.4536824869287028,-2.0008222931142394,8,Brian Davis
67,106,Brian,Davis,1992,<Null>,30.86111111111111,11.166666666666666,4.527777777777778,1.9166666666666667,0.25,1.1666666666666667,0.3917525773195876,0.20512820512820512,1.0675,1.0833333333333333,s,2.8739456093450317,1.6892628450637148,-2.3250708388693946,6,Brian Davis
68,106,Brian,Davis,1992,<Null>,30.86111111111111,11.166666666666666,4.527777777777778,1.9166666666666667,0.25,1.1666666666666667,0.3917525773195876,0.20512820512820512,1.0675,1.0833333333333333,z,1.4770841965347294,0.0,1.4770841965347294,11,Brian Davis
69,106,Brian,Davis,1992,<Null>,30.86111111111111,11.166666666666666,4.527777777777778,1.9166666666666667,0.25,1.1666666666666667,0.3917525773195876,0.20512820512820512,1.0675,1.0833333333333333,g,4.13981038148256,-2.433319489522726,-3.349176952109225,8,Brian Davis
70,106,Brian,Davis,1992,<Null>,30.86111111111111,11.166666666666666,4.527777777777778,1.9166666666666667,0.25,1.1666666666666667,0.3917525773195876,0.20512820512820512,1.0675,1.0833333333333333,d,-0.1705594515069322,0.10025233023486797,0.1379854948203779,8,Brian Davis
71,106,Brian,Davis,1992,<Null>,30.86111111111111,11.166666666666666,4.527777777777778,1.9166666666666667,0.25,1.1666666666666667,0.3917525773195876,0.20512820512820512,1.0675,1.0833333333333333,t,2.5883813390912174,-1.5214123784268607,-2.0940444912477783,8,Brian Davis
72,108,Johnny,Dawkins,1983,<Null>,35.82142857142857,18.071428571428573,4.107142857142857,4.785714285714286,0.35714285714285715,0.9642857142857143,0.17632850241545894,0.35185185185185186,1.4142857142857141,1.9285714285714286,p,3.1560500255127337,0.0,3.1560500255127337,2,Johnny Dawkins
73,108,Johnny,Dawkins,1983,<Null>,35.82142857142857,18.071428571428573,4.107142857142857,4.785714285714286,0.35714285714285715,0.9642857142857143,0.17632850241545894,0.35185185185185186,1.4142857142857141,1.9285714285714286,r,2.3992016299216434,2.281776344042932,0.7413940765778613,4,Johnny Dawkins
